target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IE,2026-04-05,3,quantile,0.99,8.625631149963375,2026-03-25
ILI incidence,IE,2026-04-12,4,quantile,0.99,8.884802002855373,2026-03-25
ILI incidence,IE,2026-03-22,1,median,,6.306824864409231,2026-03-25
ILI incidence,IE,2026-03-29,2,median,,6.784908891563975,2026-03-25
ILI incidence,IE,2026-04-05,3,median,,6.19741998586633,2026-03-25
ILI incidence,IE,2026-04-12,4,median,,5.860456927619511,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.01,52.024058473783434,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.01,29.269564323702017,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.01,18.43424464856956,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.01,0.0,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.025,52.683854461909085,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.025,30.404534644039472,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.025,21.59324046589634,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.025,0.0,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.05,54.53083919035881,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.05,31.857008734689433,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.05,26.042132167776817,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.05,1.3452876513671297,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.1,58.656702967401,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.1,36.80130016647968,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.1,32.63995324831207,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.1,3.0595707411371795,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.15,60.393841215428296,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.15,46.486097294738485,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.15,33.916413111212094,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.15,5.027475077317038,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.2,62.23208146955856,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.2,47.114402775254256,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.2,34.94900772351048,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.2,10.126119646243462,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.25,62.53500254029608,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.25,47.59730129232395,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.25,36.133176874164995,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.25,13.477983152861132,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.3,63.479032664031564,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.3,48.12597191803501,2026-03-25
